Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2021;;;;;;;;;;;;
Ano de Lançamento;CPB;Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF2;Distribuidora;Máximo de Salas;Público;Renda (R$)
2001;B0500288800000;O Grilo Feliz;Walbercy Ribas;Animação;Startanima;SP;-;-;Hoyts;29;216611;1022404
2001;B0500258400000;O Sonho De Rose, 10 Ano Depois;Tetê Moraes;Documentário;Vemver Brasil;RJ;-;-;Riofilme;5;12232;46561
2001;B0300004700000;O Xangô De Baker Street;Miguel Faria Jr.;Ficção;Skylight/Tibet Filme;RJ/RJ;-;-;Columbia;76;366353;2275052
2001;B0500265600000;Senta A Pua!;Erik De Castro;Documentário;Bsb Cinema;DF;-;-;Riofilme;8;13181;78756
2001;B0500288700000;Tainá - Uma Aventura Na Amazônia;Sérgio Bloch/Tânia Lamarca;Ficção;Tietê Produções;RJ;-;-;Art Filmes/Mam;100;853210;3054492
2001;B0600549900000;Tônica Dominante;Lina Chamie;Ficção;Superfilmes;SP;-;-;Riofilme;3;8020;46159
2001;B0500335400000;Um Anjo Trapalhão;Alexandre Boury/Marcelo Travesso;Ficção;Renato Aragão Produções;RJ;-;-;Fox;153;125913;513632
2001;B0500186600000;Xuxa E Os Duendes;Paulo Sérgio Almeida/Rogério Gomes;Ficção;Diler & Associados;RJ;-;-;Warner;311;2657091;11691200
2002;B0500311900000;A Paixão De Jacobina;Fábio Barreto;Ficção;Filmes Do Equador;RJ;-;-;Playarte;45;146062;682110
2002;B0500309000000;As Três Marias;Aluizio Abranches;Ficção;Hare Filmes;RJ;-;-;Lumière;10;13003;76819
2002;B0300009600000;Avassaladoras;Mara Mourão;Ficção;Mamo Filmes;SP;Total Entertainment;RJ;Fox;103;310260;1722883
2002;B0500309900000;Bellini E A Esfinge;Roberto Santucci;Ficção;Ananã Produções/Santa Fé Filmes;RJ/RJ;-;-;Copacabana Filmes;21;60073;300000
2002;B0300002800000;Cidade De Deus;Fernando Meirelles;Ficção;O2 Filmes;SP;-;-;Lumière;176;3370871;19066087
2002;B0300031500000;Dias De Nietzsche Em Turim;Julio Bressane;Ficção;Tb Produções;RJ;-;-;Riofilme;2;15017;85993
2002;B0500291000000;Duas Vezes Com Helena;Mauro Farias;Ficção;Fraiha Produções;RJ;-;-;Riofilme;5;6374;40056
2002;B0500288900000;Edifício Master;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;Riofilme;7;86483;605243
2002;B1201554100000;Eu Não Conhecia Tururu;Florinda Bolkan;Ficção;Jandaira Produções;CE;-;-;Riofilme;2;823;5621
2002;B0500404500000;Gregório De Mattos;Ana Carolina;Ficção;Crystal Cinematográfica;RJ;-;-;Riofilme;2;3812;23660
2002;B0500298200000;Houve Uma Vez Dois Verões;Jorge Furtado;Ficção;Casa De Cinema De Porto Alegre;RS;-;-;Columbia;11;68487;384212
2002;B0600513700000;Invasor;Beto Brant;Ficção;Drama Filmes;SP;Brasil Filmes/Ricca Produções;SP/SP;Pandora;16;103810;669762
2002;B0500301000000;Janela Da Alma;João Jardim/Walter Carvalho;Documentário;Dueto Filmes/Tambellini Filmes;RJ/RJ;-;-;Copacabana Filmes;4;141360;795856
2002;B0400148200000;Lara;Ana Maria Magalhães;Ficção;Nova Era Produções;RJ;-;-;Riofilme;9;2639;15504
2002;B0500311800000;Latitude Zero;Toni Venturi;Ficção;Olhar Imaginário;SP;-;-;Riofilme;6;7867;44829
2002;B0300008800000;Madame Satã;Karim Aïnouz;Ficção;Videofilmes;RJ;-;-;Lumière;24;163161;1155180
2002;B0500294200000;Nem Gravata, Nem Honra;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;Riofilme;2;3237;15789
2002;B0500308800000;O Príncipe;Ugo Giorgetti;Ficção;Sp Filmes De São Paulo;SP;-;-;Mais Filmes;11;15295;94037
2002;B0500274200000;Onde A Terra Acaba;Sérgio Machado;Documentário;Videofilmes;RJ;-;-;Riofilme;2;3786;20543
2002;B0500311500000;Poeta De Sete Faces;Paulo Thiago;Documentário;Vitória Produções;RJ;-;-;Riofilme;3;4495;20972
2002;B0300005900000;Rocha Que Voa;Eryk Rocha;Documentário;Grupo Novo De Cinema E Tv;RJ;-;-;M21;1;5929;30000
2002;B0300029800000;Sonhos Tropicais;André Sturm;Ficção;Pandora Filmes;SP;-;-;Pandora;12;36304;169438
2002;B0500377900000;Surf Adventures;Arthur Fontes;Documentário;Massangana Filmes/Curt E Alex Associados;RJ/SP;-;-;Lumière;77;200853;1295502
2002;B0500249000000;Timor Lorosae - O Massacre Que O Mundo Não Viu;Lucélia Santos;Documentário;Nhock Produções Artísticas;RJ;-;-;Riofilme;5;7683;28797
2002;B0500312900000;Uma Onda No Ar;Helvécio Ratton;Ficção;Quimera Filmes;MG;-;-;Mais Filmes;11;34837;153644
2002;B0500293200000;Uma Vida Em Segredo;Suzana Amaral;Ficção;Raiz Produções;SP;-;-;Riofilme;10;14279;86160
2002;B0500313000000;Viva São João;Andrucha Waddington;Documentário;Conspiração Filmes;RJ;-;-;Columbia;13;7092;43963
2002;B0300029600000;Xuxa E Os Duendes 2;Paulo Sérgio Almeida/Rogério Gomes;Ficção;Diler & Associados/Labocine/Quanta-Rio/Tele Image;RJ/RJ/RJ/SP;-;-;Warner;303;2301152;11485979
2002;B0500254200000;Ônibus 174;José Padilha;Documentário;Zazen Produções;RJ;-;-;Riofilme;5;35290;203962
2003;B0400152400000;Acquaria;Flávia Moraes;Ficção;Four Team Promoções Artísticas;SP;Universal Music/Teleimage Productions/Spectra Midia Produções;RJ/SP/SP;Fox;340;837695;4466393
